id,price,cats_ok,dogs_ok,housing_type,laundry,parking,bedrooms,bathrooms,no_smoking,is_furnished,ev_charging,wheelchair_acccess,latitude,longitude
7245041147,1995.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.769432,-73.922844
7245039346,1400.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.8153,-73.9072
7245039068,2100.0,False,False,apartment,no laundry on site,street parking,3.0,2.0,True,False,False,False,40.5979,-73.9743
7245038066,2200.0,False,False,apartment,laundry in bldg,street parking,3.0,1.0,False,False,False,False,40.831638,-73.876067
7245037357,4490.0,False,False,house,w/d in unit,attached garage,3.0,2.5,False,False,False,False,40.955307,-73.829476
7245037108,1400.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.8153,-73.9072
7245036791,2038.0,True,True,apartment,laundry in bldg,street parking,1.0,1.0,False,False,True,False,40.7056,-74.0083
7245036078,1800.0,False,False,apartment,no laundry on site,street parking,2.0,1.0,False,False,False,False,40.6762,-73.8736
7245035667,2300.0,False,False,apartment,no laundry on site,street parking,3.0,2.0,True,False,False,False,40.763486,-73.78943
7245035632,2195.0,True,False,apartment,laundry in bldg,attached garage,2.0,1.0,False,False,False,False,40.6251,-74.0303
7245031824,1650.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.8295,-73.8716
7245031694,2100.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.777702,-73.90804
7245031378,1650.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.8295,-73.8716
7245031045,1860.0,False,False,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.8153,-73.9072
7245030611,1860.0,False,False,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.8153,-73.9072
7245030190,1770.0,True,True,apartment,laundry in bldg,street parking,0.0,1.0,False,False,False,False,40.705555,-74.00972
7245028803,2295.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.7706,-73.9265
7245027846,1900.0,True,True,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.6505,-73.9349
7245025875,1300.0,True,True,apartment,laundry in bldg,street parking,0.0,1.0,False,False,False,False,40.6982,-73.8345
7245024017,3300.0,True,True,apartment,laundry in bldg,street parking,3.0,1.0,False,False,False,False,40.7706,-73.9265
7245022988,3000.0,True,True,apartment,w/d in unit,street parking,2.0,1.0,False,False,False,False,40.7056,-74.00878
7245022873,3000.0,False,False,loft,laundry in bldg,off-street parking,3.0,1.0,False,False,False,False,40.727485,-73.944806
7245022032,1650.0,True,True,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.721485,-73.73064
7245021898,2700.0,False,False,apartment,laundry in bldg,street parking,4.0,1.0,False,False,False,False,40.6472,-73.906265
7245021558,2995.0,True,True,apartment,w/d in unit,street parking,2.0,1.0,False,False,False,False,40.718066,-73.944966
7245021293,900.0,True,True,apartment,laundry on site,street parking,3.0,2.0,False,False,False,False,40.7095,-73.9563
7245019331,2300.0,False,False,apartment,no laundry on site,no parking,3.0,1.0,False,False,False,False,40.6868,-73.823
7245017913,1949.0,True,True,apartment,w/d in unit,attached garage,1.0,1.0,True,False,False,True,40.936044,-73.902845
7245017873,2195.0,True,True,apartment,w/d in unit,no parking,1.0,1.0,False,True,False,False,40.740815,-73.97877
7245017224,1500.0,False,False,apartment,w/d in unit,street parking,1.0,1.0,True,False,False,False,40.7173,-73.8792
7245013512,4125.0,True,True,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.796561,-73.972257
7245010570,1650.0,False,False,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.689791,-73.906544
7245007012,2000.0,False,False,apartment,no laundry on site,street parking,2.0,1.0,False,False,False,False,40.6205,-73.9239
7245004576,2045.0,True,True,apartment,no laundry on site,detached garage,2.0,1.0,False,False,False,False,40.782283,-73.914595
7245004346,2350.0,False,False,apartment,laundry in bldg,off-street parking,3.0,2.0,False,False,False,False,40.7583,-73.7822
7245003381,2300.0,True,True,apartment,w/d in unit,street parking,2.0,1.0,False,False,False,False,40.700672,-73.939656
7245003171,2150.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,True,False,False,False,40.724771,-73.952408
7245001647,3300.0,True,True,apartment,w/d in unit,street parking,3.0,1.0,False,False,False,False,40.7272,-73.9498
7245000334,1600.0,False,False,apartment,no laundry on site,street parking,1.0,1.0,False,False,False,False,40.6784,-73.9211
7245000203,2500.0,True,True,duplex,laundry in bldg,street parking,3.0,1.5,False,False,False,False,40.690749,-73.906771
7245000015,2495.0,True,True,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.7313,-73.9892
7244999151,3500.0,True,True,apartment,laundry in bldg,street parking,3.0,2.0,False,False,False,False,40.761593,-73.993521
7244999130,1750.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.7229,-73.8473
7244994129,1300.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.742487,-73.924526
7244991179,1275.0,False,False,apartment,laundry in bldg,street parking,0.0,1.0,False,False,False,False,40.796602,-73.970379
7244987647,2325.0,True,True,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.683515,-73.907627
7244986849,1650.0,True,True,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.6628,-73.9546
7244986335,3575.0,True,True,duplex,w/d in unit,street parking,5.0,2.0,False,False,False,False,40.691063,-73.934523
7244983963,1995.0,True,True,apartment,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.640824,-73.95833
7244983397,1675.0,True,True,apartment,laundry in bldg,street parking,0.0,1.0,False,False,False,False,40.72774,-73.8601
7244982993,1750.0,False,False,apartment,laundry in bldg,detached garage,1.0,1.0,True,False,False,False,40.715436,-73.903391
7244982202,2000.0,True,True,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,False,40.7651,-73.9638
7244981946,3395.0,True,False,apartment,w/d in unit,street parking,3.0,1.0,False,False,False,False,40.66853,-73.976312
7244979547,1400.0,True,False,apartment,no laundry on site,street parking,1.0,1.0,False,False,False,False,40.7428,-73.7588
7244978947,1750.0,False,False,apartment,laundry in bldg,street parking,1.0,1.0,False,False,False,True,40.7436,-73.9216
7244978396,2650.0,True,True,apartment,w/d in unit,street parking,2.0,1.0,False,False,False,False,40.7571,-73.9657
7244974291,1700.0,False,False,apartment,no laundry on site,carport,2.0,1.0,True,False,False,False,40.7606,-73.7968
7244974086,2695.0,False,False,apartment,w/d in unit,street parking,3.0,2.0,False,False,False,False,40.681854,-73.910626
7244973855,750.0,True,True,apartment,laundry on site,off-street parking,2.0,1.0,True,True,False,False,40.7446,-73.9345
7244973831,2190.0,False,False,apartment,no laundry on site,street parking,2.0,1.0,False,False,False,False,40.669653,-73.957257
7244971104,3200.0,True,True,apartment,laundry in bldg,street parking,3.0,1.0,False,False,False,False,40.7272,-73.9498
7244970825,750.0,True,True,apartment,laundry on site,off-street parking,2.0,1.0,True,True,False,False,40.7519,-73.9768
7244970621,1800.0,False,False,house,laundry in bldg,street parking,2.0,1.0,False,False,False,False,40.7351,-73.8776
